symbol,record_date,ex_date,cash_payment_date,cash_dividend_per_old_share,share_ratio,fractional_share_treatment,event_id,source_url,source_sha256
SH515450,2024-07-22,2024-07-22,2024-07-22,0.04999999999999999,1.0,not_applicable_no_share_change,SH515450~2024-07-22,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2024-12-17,2024-12-17,2024-12-17,0.05499999999999999,1.0,not_applicable_no_share_change,SH515450~2024-12-17,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2025-07-15,2025-07-15,2025-07-15,0.04500000000000004,1.0,not_applicable_no_share_change,SH515450~2025-07-15,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2025-12-15,2025-12-15,2025-12-15,0.02999999999999997,1.0,not_applicable_no_share_change,SH515450~2025-12-15,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515450,2026-07-15,2026-07-15,2026-07-15,0.010000000000000009,1.0,not_applicable_no_share_change,SH515450~2026-07-15,https://finance.sina.com.cn/realstock/company/sh515450/hfq.js,4e8ee3e8a26608389c40f53c95d9379a93ace11a281f321238ac01344ab848fd
SH515580,2021-11-01,2021-11-01,2021-11-01,0.0,2.0,unknown_not_provided_by_sina_hfq,SH515580~2021-11-01,https://finance.sina.com.cn/realstock/company/sh515580/hfq.js,2ae65ca6fd6ec4013990853f73f3168e879e1e926b56d3158ce46feee7267f90
SH515800,2023-09-21,2023-09-21,2023-09-21,0.112,1.0,not_applicable_no_share_change,SH515800~2023-09-21,https://finance.sina.com.cn/realstock/company/sh515800/hfq.js,56b3dbe2f92cd79e593a63f909fcd3703b418286c157f9891fb201514fe9d835
SH515880,2026-02-03,2026-02-03,2026-02-03,0.0,3.0,unknown_not_provided_by_sina_hfq,SH515880~2026-02-03,https://finance.sina.com.cn/realstock/company/sh515880/hfq.js,a7aaff43c1bed2aced6cb7136768a611275b86913b8adc32223d0ef8cf54aca8
SH515880,2026-07-06,2026-07-06,2026-07-06,0.0,2.0,unknown_not_provided_by_sina_hfq,SH515880~2026-07-06,https://finance.sina.com.cn/realstock/company/sh515880/hfq.js,a7aaff43c1bed2aced6cb7136768a611275b86913b8adc32223d0ef8cf54aca8
SH515890,2022-06-21,2022-06-21,2022-06-21,0.06,1.0,not_applicable_no_share_change,SH515890~2022-06-21,https://finance.sina.com.cn/realstock/company/sh515890/hfq.js,0d310c9a38793940c9f7afebb2edb660da65063dcd59fa4bb2a795c1731cfbe4
