symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SZ159550,159550,SZ,互联网ETF东财,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:24+08:00,0.847,61509,5257009.7,169254981,169254981,2026-08-11
SZ159551,159551,SZ,机器人ETF国泰,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:03+08:00,1.329,245185,32503588.2,430490913,430490913,2026-08-11
SZ159552,159552,SZ,中证2000增强ETF招商,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:42+08:00,2.222,554415,123534314.1,1457166091,1457166091,2026-08-11
SZ159553,159553,SZ,中证2000增强ETF海富通,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:27+08:00,1.817,4342,788537.5,29665707,29665707,2026-08-11
SZ159555,159555,SZ,中证2000增强ETF银华,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:45+08:00,1.737,26789,4657515.5,65072719,65072719,2026-08-11
SZ159556,159556,SZ,中证2000增强ETF平安,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:30+08:00,1.212,7715,939511.9,18853980,18853980,2026-08-11
SZ159558,159558,SZ,半导体设备ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:48+08:00,1.159,15593353,1830483982.457,19929658713,19929658713,2026-08-11
SZ159559,159559,SZ,机器人ETF景顺,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:57+08:00,1.291,1269914,162480424.616,2618892422,2618892422,2026-08-11
SZ159560,159560,SZ,芯片ETF景顺,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:36+08:00,2.361,84228,20038765.4,435407262,435407262,2026-08-11
SZ159562,159562,SZ,黄金股ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:03+08:00,2.235,2263192,523860756.449,5330766694,5330766694,2026-08-11
SZ159563,159563,SZ,创业板综ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:06+08:00,1.829,21081,3857826.6,50042854,50042854,2026-08-11
SZ159565,159565,SZ,汽车零部件ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:39+08:00,1.336,213580,28426981.3,195893981,195893981,2026-08-11
SZ159566,159566,SZ,储能电池ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:06+08:00,1.891,2065057,390667456.94,5284852916,5284852916,2026-08-11
SZ159567,159567,SZ,港股创新药ETF银华,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:09+08:00,0.711,22460099,1617240655.9,7731221882,7731221882,2026-08-11
SZ159568,159568,SZ,港股互联网ETF博时,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:54+08:00,1.219,714451,88335274.5,422819785,422819785,2026-08-11
SZ159569,159569,SZ,港股红利低波ETF景顺,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:57+08:00,1.37,650119,89376226.3,509841730,509841730,2026-08-11
SZ159570,159570,SZ,港股通创新药ETF汇添富,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:00+08:00,1.473,15492690,2313151575.99,25689999746,25689999746,2026-08-11
SZ159571,159571,SZ,创业板200ETF富国,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:42+08:00,1.464,4290,628455.1,29253376,29253376,2026-08-11
SZ159572,159572,SZ,创业板200ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:03+08:00,1.468,112458,16562797.8,281487689,281487689,2026-08-11
SZ159573,159573,SZ,创业板200ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:12+08:00,1.475,126317,18687692.8,117198038,117198038,2026-08-11
SZ159575,159575,SZ,创业板200ETF银华,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:15+08:00,1.433,1449,207600.4,16351139,16351139,2026-08-11
SZ159576,159576,SZ,深证100ETF广发,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:18+08:00,1.583,44411,7050125.4,59377716,59377716,2026-08-11
SZ159578,159578,SZ,深证主板50ETF南方,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:06+08:00,1.216,3829,466289.8,24318578,24318578,2026-08-11
SZ159581,159581,SZ,红利ETF万家,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:00+08:00,1.063,230545,24576424.4,1364068932,1364068932,2026-08-11
SZ159582,159582,SZ,半导体ETF博时,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:24+08:00,0.79,1291140,103146133.5,790480408,790480408,2026-08-11
SZ159583,159583,SZ,通信ETF富国,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:45+08:00,1.586,3483637,550997763.224,3544064333,3544064333,2026-08-11
SZ159586,159586,SZ,计算机ETF南方,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:09+08:00,1.105,115715,12823296.3,290091145,290091145,2026-08-11
SZ159587,159587,SZ,粮食ETF广发,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:03+08:00,1.133,137409,15694946.5,177254486,177254486,2026-08-11
