symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SZ159590,159590,SZ,软件ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,0.935,439477,41107829.5,700653231,700653231,2026-08-10
SZ159591,159591,SZ,A50ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:00+08:00,1.406,73742,10348573.8,465253386,465253386,2026-08-10
SZ159592,159592,SZ,A50ETF银华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,1.374,48926,6718095.1,835818578,835818578,2026-08-10
SZ159593,159593,SZ,中证A50ETF平安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,1.388,264429,36688919.7,2645106115,2645106115,2026-08-10
SZ159595,159595,SZ,中证A50ETF大成,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,1.393,355072,49449420.1,1241320754,1241320754,2026-08-10
SZ159596,159596,SZ,A50ETF华宝,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,0.665,145643,9675098.6,342929222,342929222,2026-08-10
SZ159597,159597,SZ,创业板成长ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.834,160294,13260928.1,845056451,845056451,2026-08-10
SZ159599,159599,SZ,芯片ETF东财,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,2.963,362178,106233383.2,1972830776,1972830776,2026-08-10
SZ159601,159601,SZ,A50ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,1.148,360852,41357863.7,1626472716,1626472716,2026-08-10
SZ159602,159602,SZ,中国A50ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,1.112,34293,3801144.709,454299754,454299754,2026-08-10
SZ159603,159603,SZ,科创创业ETF天弘,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,1.773,29569,5205616.2,4489363514,4489363514,2026-08-10
SZ159606,159606,SZ,中证500成长ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,1.377,26367,3626288.0,535959840,535959840,2026-08-10
SZ159608,159608,SZ,稀有金属ETF广发,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,1.139,735898,83626095.3,4018403463,4018403463,2026-08-10
SZ159609,159609,SZ,光伏ETF浦银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,0.511,61300,3120170.0,157849641,157849641,2026-08-10
SZ159610,159610,SZ,中证500增强ETF景顺,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:24+08:00,1.288,24323,3119436.9,213251851,213251851,2026-08-10
SZ159611,159611,SZ,电力ETF广发,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,1.059,2418677,256395532.125,10415437490,10415437490,2026-08-10
SZ159613,159613,SZ,信息安全ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,0.901,37429,3362271.5,108651786,108651786,2026-08-10
SZ159616,159616,SZ,农牧ETF建信,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,0.8,150088,12016722.1,54848890,54848890,2026-08-10
SZ159617,159617,SZ,中证500价值ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,1.382,20580,2845259.2,42038204,42038204,2026-08-10
SZ159618,159618,SZ,光伏ETF华安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,0.692,13550,933142.243,52682934,52682934,2026-08-10
SZ159619,159619,SZ,基建ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,0.951,9335,888265.9,73208938,73208938,2026-08-10
SZ159620,159620,SZ,中证500成长ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,1.311,37093,4843965.0,40825764,40825764,2026-08-10
